list_id,user_id,list_name,is_public,created_at
1,1,Personal Watchlist,0,2023-01-16 06:34:02
2,2,Road to Cannes,1,2023-06-30 15:43:19
3,2,Tarkovsky Road,1,2020-03-24 10:07:32
4,2,Japanese Classics,0,2022-10-04 14:41:18
5,3,Road to Cannes,0,2023-10-23 12:54:14
6,3,Japanese Classics,0,2023-09-20 05:58:38
7,4,Hidden Gems,0,2024-11-01 22:03:22
8,4,Long Takes,1,2021-11-19 09:10:44
9,4,All-Time Favourites,0,2024-08-18 02:03:01
10,5,Award Winners,1,2022-12-29 22:32:12
11,6,Double Features,1,2023-07-30 15:26:46
12,6,Award Winners,0,2023-03-08 08:32:13
13,6,Award Winners,0,2020-08-11 02:36:24
14,7,Hidden Gems,1,2024-07-02 09:03:32
15,7,Award Winners,1,2023-03-04 12:54:02
16,8,All-Time Favourites,0,2023-10-23 18:10:46
17,9,Award Winners,1,2023-04-16 19:49:18
18,9,Crime & Punishment,0,2022-02-06 22:54:53
19,9,Personal Watchlist,1,2022-04-18 17:55:09
20,10,African Cinema Gems,0,2024-11-30 00:03:32
21,10,Feminist Masterpieces,0,2020-11-21 12:33:25
22,10,African Cinema Gems,0,2021-08-08 18:22:37
23,11,Road to Cannes,1,2022-03-24 00:07:18
24,11,Hidden Gems,1,2020-07-17 16:37:13
25,12,Double Features,0,2020-07-20 10:38:42
26,13,Cinematography Showcase,1,2023-12-19 09:20:15
27,13,Japanese Classics,1,2023-05-01 23:05:36
28,14,Long Takes,1,2024-04-03 15:21:05
29,14,African Cinema Gems,1,2023-08-22 18:13:26
30,14,All-Time Favourites,0,2023-05-28 10:08:53
31,15,New Wave Essentials,1,2020-06-06 04:07:51
32,15,Crime & Punishment,0,2020-06-09 01:14:29
33,16,Feminist Masterpieces,1,2020-01-10 14:54:28
34,16,Crime & Punishment,0,2024-12-31 13:40:47
35,16,Japanese Classics,1,2023-07-27 14:40:58
36,17,Crime & Punishment,1,2024-03-03 07:12:23
37,17,Hidden Gems,1,2022-02-23 01:32:02
38,18,All-Time Favourites,1,2021-07-07 17:13:04
39,18,Crime & Punishment,1,2021-03-20 02:09:08
40,18,Personal Watchlist,0,2023-12-17 12:10:20
41,19,Feminist Masterpieces,1,2021-03-28 13:14:10
42,19,Hidden Gems,1,2024-04-04 15:49:21
43,20,Philosophical Cinema,1,2020-11-02 21:35:47
44,20,Crime & Punishment,1,2022-04-02 02:05:17
45,20,Road to Cannes,0,2021-10-03 19:01:43
